name	total_reads_hisat	unmapped_reads_hisat	mapped_reads_hisat	nonsplice	splice	paired
1-M-1-18_FRAS210125847-1r	37899377	5161701	32737676	13905313	12776782	25756784
1-M-2-18_FRAS210125853-1r	40742153	4583491	36158662	12929067	12339617	24418588
1-M-2-6_FRAS210125856-1b	92157957	4682954	87475003	14901087	12666887	26196136
2-M-1-18_FRAS210125848-1r	66336780	4626165	61710615	13312140	11382324	23862198
2-M-1-6_FRAS210125851-1r	46210340	4149507	42060833	13638370	11719990	24583480
2-M-2-18_FRAS210125854-1r	33808761	3897760	29911001	12824649	10481988	22488424
2-M-2-6_FRAS210125857-1r	37531320	4586864	32944456	13670389	10594813	23493310
3-M-1-18_FRAS210125849-1r	71801195	4538874	67262321	13406351	12238759	24819524
3-M-1-6_FRAS210125852-1r	69335372	4442486	64892886	12311131	12209975	23940742
3-M-2-18_FRAS210125855-1r	84123210	3890071	80233139	13277002	9186130	21709016
3-M-2-6_FRAS210125858-1r	48108638	4868451	43240187	14620340	11208037	25033532
C1-Bra-D1-1800_FRAS210125776-1r	34283230	2889107	31394123	19331434	8544267	26754564
C1-Bra-D1-600_FRAS210125781-1r	31554260	2664752	28889508	18550839	8171719	25707334
C1-Bra-D2-1800_FRAS210125787-1r	33394549	2360800	31033749	21081731	7217598	27290634
C1-Bra-D2-600_FRAS210125793-1r	41147435	2785604	38361831	19834756	7563375	26436098
C1-Bra-D3-1800_FRAS210125799-1r	47844406	2629327	45215079	21922640	7054214	28044700
C1-Bra-D3-600_FRAS210125805-1r	33145113	2149594	30995519	22091257	6324931	27430454
C1-Mus-D3-1800_FRAS210125859-1r	35602549	4030305	31572244	16268844	12121844	27465132
C1-Mus-D3-600_FRAS210125862-1r	44990708	5507691	39483017	15083823	13293069	27570630
C1-Mus-D4-1800_FRAS210125865-1r	40343592	4982592	35361000	15595849	11494037	26366680
C1-Mus-D4-600_FRAS210125868-1r	39841817	5383731	34458086	14923239	13714504	27969924
C2-Bra-D1-1800_FRAS210125777-1r	28699234	2403249	26295985	17591621	7273742	23700876
C2-Bra-D1-600_FRAS210125782-1b	37273018	3581401	33691617	21836637	8895994	28915696
C2-Bra-D2-1800_FRAS210125788-1r	33947916	2992489	30955427	16678048	6848973	22533428
C2-Bra-D2-600_FRAS210125794-1r	49567637	2874009	46693628	20018396	7496699	26481028
C2-Bra-D3-1800_FRAS210125800-1r	40606972	2924919	37682053	22898802	7566809	29352996
C2-Bra-D3-600_FRAS210125806-1r	34323563	2037106	32286457	23166141	6634908	28902416
C2-Mus-D3-1800_FRAS210125860-1r	40729171	4794447	35934724	17046508	12758803	29030062
C2-Mus-D3-600_FRAS210125863-1r	41676137	4761382	36914755	15253152	13263198	27692090
C2-Mus-D4-1800_FRAS210125866-1r	54908739	5263575	49645164	14654715	10716501	24586746
C2-Mus-D4-600_FRAS210125869-1r	53582032	4820135	48761897	16665591	11563893	27480870
C3-Bra-D1-1800_FRAS210125778-1r	35519174	3009927	32509247	19764744	8959830	27622914
C3-Bra-D1-600_FRAS210125783-1r	35517198	2600313	32916885	21644862	8887360	29296398
C3-Bra-D2-1800_FRAS210125789-1r	35634149	2971627	32662522	19454086	8576587	27028414
C3-Bra-D2-600_FRAS210125795-1r	35530584	2899456	32631128	21334077	7323064	27530852
C3-Bra-D3-1800_FRAS210125801-1r	40813335	2686694	38126641	25620585	8532203	33016104
C3-Bra-D3-600_FRAS210125807-1r	39505211	3002860	36502351	24601370	6778097	30097434
C3-Mus-D3-1800_FRAS210125861-1r	37413938	5090011	32323927	13029464	13069125	25338362
C3-Mus-D3-600_FRAS210125864-1r	41278725	4438241	36840484	17695668	12114403	29060844
C3-Mus-D4-1800_FRAS210125867-1r	38748672	4568483	34180189	16280673	10724196	26322258
C3-Mus-D4-600_FRAS210125870-1r	34762744	3964463	30798281	16778226	10315738	26440596
